Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
,,,5.16,0,0,
,,,5.17,0,0,
,,,5.18,0,0,
,,,5.19,0,0,
,,,5.2,0,0,
,,,5.21,0,0,
,,,5.22,0,0,
,,,5.23,0,0,
,,,5.24,0,0,
,,,5.25,0,0,
,,,5.26,0,0,
,,,5.27,0,0,
,,,5.28,0,0,
,,,5.29,0,0,
,,,5.3,0,0,
